,Special
〇,○
',
画,畫,划,劃
鳃,鰓
,san
伞,繖,傘
毵,毿
馓,饊
糁,糝
,sang
丧,喪
颡,顙
,sao
扫,掃
骚,騷
缫,繅
鲹,鰺
,se
涩,澀
铯,銫
穑,穡
啬,嗇
,sha
纱,紗
厦,廈
杀,殺
鲨,鯊
铩,鎩
,shai
筛,篩
晒,曬
,shan
陕,陝
删,刪
闪,閃
扇,搧
赡,贍
掺,摻
钐,釤
鳝,鱔
骟,騸
姗,姍
膻,羶
讪,訕
缮,繕
,shang
赏,賞
伤,傷
殇,殤
觞,觴
,shao
烧,燒
绍,紹
,she
摄,攝
设,設
,舍,捨
赊,賒
厍,厙
滠,灄
慑,懾
,shen
,沈,瀋
审,審
渗,滲
肾,腎
婶,嬸
什,甚
绅,紳
瘆,瘮
谂,諗
诜,詵
,sheng
声,聲
绳,繩
圣,聖
升,昇,陞
剩,賸
胜,勝
,shi
识,識
饰,飾
释,釋
蚀,蝕
实,實
狮,獅
师,師
势,勢
时,時
试,試
驶,駛
诗,詩
适,適
视,視
尸,屍
湿,溼,濕
虱,蝨
铊,鉈
谥,諡
铈,鈰
鳀,鯷
贳,貰
弑,弒
埘,塒
鲥,鰣
轼,軾
鲺,鯴
莳,蒔
鸤,鳲
,shou
寿,壽
兽,獸
绶,綬
,shu
树,樹
数,數
竖,豎
输,輸
书,書
属,屬
术,朮,術
枢,樞
赎,贖
纾,紓
摅,攄
,shuai
帅,帥
,shuan
闩,閂
,shuang
双,雙
,shui
谁,誰
税,稅
,shun
顺,順
,shuo
说,説,說
烁,爍
硕,碩
铄,鑠
,si
饲,飼
丝,絲
鸶,鷥
蛳,螄
飔,颸
锶,鍶
驷,駟
厮,廝
缌,緦
咝,噝
,song
颂,頌
诵,誦
松,鬆
耸,聳
讼,訟
怂,慫
嵩,崧
,sou
搜,蒐
馊,餿
薮,藪
飕,颼
擞,擻
,su
肃,肅
诉,訴
苏,甦,蘇,囌
谡,謖
稣,穌
,suan
酸,痠
,sui
虽,雖
岁,歲
随,隨
谇,誶
绥,綏
,sun
笋,筍
损,損
孙,孫
荪,蓀
狲,猻
,suo
锁,鎖
缩,縮
琐,瑣
唢,嗩
蓑,簑
,ta
跶,躂
闼,闥
挞,撻
鳎,鰨
獭,獺
阘,闒
,tai
态,態
台,臺,檯,颱
鲐,鮐
骀,駘
钛,鈦
,tan
摊,攤
谈,談
滩,灘
贪,貪
叹,歎,嘆
坛,罈,壇
谭,譚
瘫,癱
啴,嘽
镡,鐔
昙,曇
锬,錟
,tang
烫,燙
汤,湯
糖,醣
铴,鐋
镋,钂
镗,鏜
傥,儻
,tao
讨,討
涛,濤
绹,綯
鼗,鞀
绦,絛
韬,韜
,te
铽,鋱
,teng
腾,騰
誊,謄
藤,籐
,ti
题,題
体,體
屉,屜
缇,緹
锑,銻
绨,綈
鹈,鵜
